"Alexa","Consonant","Dataset","Dictionary","Digits","Entropy"
0.15,0.793125,"acc059.25_75f9c582101374909633bcfd51854174262050e234c0bb44b54b011b2723db2b.csv",0.290625,0.003958,2.401385
0.0425,0.638124,"acc089.75_35b568a9930f3c7d0db44949b8a0ee66944ab75a2a19ad08a1a72dc478719818.csv",0.091042,0.168541,2.45369
0.163368,0.701042,"acc014.50_37579ace254e73e1ae68e1a9e9acc29daddde2c7cf098f7381f98dbee8a32c98.csv",0.361667,0.001875,2.407228
0.136042,0.809583,"acc027.00_9cab1972bc15ecc89274e28f42798a10630be4576a40af0f65cdc4be3bad69e0.csv",0.212292,0.001458,2.401646
0.142014,0.701875,"acc052.62_ce621bf84dce1671262a6e85af92fb3d5e273bf1cc0382a37c57464bf35bde6a.csv",0.233958,0.007083,2.394051
0.075903,0.74375,"acc077.88_1e9e9a1f2547947d408c5631e8f18f4815af36996edb7c34cfa23d45299ea351.csv",0.159583,0.097917,2.41644
0.154028,0.703125,"acc060.62_b54237f78dc6703f6fa9ef0773838aa811422ff3c395178043254947a0b956da.csv",0.238958,0.003542,2.402644
0.146077,0.754791,"acc027.88_be7f746c4b08fe09fe589bf6a5f881e6eac51777e0220b4ebbdc16a7c050c4bc.csv",0.237917,6.25E-4,2.400702
0.209757,0.663542,"acc018.38_0852e5d89d6f106d61f9138ad06502091536003b8d4e5dd2311bb1660796a54d.csv",0.489375,0.005625,2.391755
0.19309,0.698542,"acc022.12_772989fdfdffff361fc9be8669a03374f99adc3417e2777bbb83c8bdd66c2483.csv",0.3975,0.001458,2.386755
0.2025,0.681667,"acc021.00_f1a025552914f669e9fe7fdcc4090763e113ea61460f463cc50625e8159fb052.csv",0.422292,0.001667,2.372377
0.206146,0.649999,"acc017.00_053ac5f83e7eb96841606a37857fe86b8ea2d7da6543c962ff1d74cf831d1887.csv",0.484167,0.005208,2.396912
